trades,wins,losses,win_rate,tp_hits,sl_hits,long_trades,short_trades,avg_R,median_R,avg_win_R,avg_loss_R,expectancy_R,profit_factor,net_profit,return_pct,max_drawdown_abs,max_drawdown_pct,avg_drawdown_abs,equity_final,sharpe_R,avg_hold_bars,median_hold_bars,R_std,R_skew,R_kurtosis,R_95pct,R_05pct,CAGR,MAR,profit_per_trade,risk_of_ruin,ny_session_win_rate,zone_OB_trades,zone_OB_win_rate,bias_aligned_win_rate,displacement_atr_mult,sweep_lookback,cosd_prior_break_bars,rr_tp_alt,max_pullback_candles,variant_id,signals,trades_pct_of_signals
4,3,1,0.75,3,1,1,3,0.4829588720101353,0.8340011636263729,0.9772784960135138,1.0,0.4829588720101353,3.3913566483532156,133.76146540782122,26.752293081564215,-55.93538943675958,-8.825937279219957,-13.983847359189895,633.7614654078211,0.9571218442754623,1.0,1.0,1.009189947755781,-1.7503686546733292,3.3343245756550353,1.1993583612135819,-0.724899825456044,2518568473.041437,28535988794.881058,33.440366351955305,0.12518812875275853,,4,0.75,,1.0,15,2,2.5,7,25,4,1.0
4,3,1,0.75,3,1,1,3,0.4829588720101353,0.8340011636263729,0.9772784960135138,1.0,0.4829588720101353,3.3913566483532156,133.76146540782122,26.752293081564215,-55.93538943675958,-8.825937279219957,-13.983847359189895,633.7614654078211,0.9571218442754623,1.0,1.0,1.009189947755781,-1.7503686546733292,3.3343245756550353,1.1993583612135819,-0.724899825456044,2518568473.041437,28535988794.881058,33.440366351955305,0.12518812875275853,,4,0.75,,1.0,15,2,2.0,7,47,4,1.0
4,3,1,0.75,3,1,1,3,0.4829588720101353,0.8340011636263729,0.9772784960135138,1.0,0.4829588720101353,3.3913566483532156,133.76146540782122,26.752293081564215,-55.93538943675958,-8.825937279219957,-13.983847359189895,633.7614654078211,0.9571218442754623,1.0,1.0,1.009189947755781,-1.7503686546733292,3.3343245756550353,1.1993583612135819,-0.724899825456044,2518568473.041437,28535988794.881058,33.440366351955305,0.12518812875275853,,4,0.75,,1.0,15,2,1.5,5,114,4,1.0
4,3,1,0.75,3,1,1,3,0.4829588720101353,0.8340011636263729,0.9772784960135138,1.0,0.4829588720101353,3.3913566483532156,133.76146540782122,26.752293081564215,-55.93538943675958,-8.825937279219957,-13.983847359189895,633.7614654078211,0.9571218442754623,1.0,1.0,1.009189947755781,-1.7503686546733292,3.3343245756550353,1.1993583612135819,-0.724899825456044,2518568473.041437,28535988794.881058,33.440366351955305,0.12518812875275853,,4,0.75,,1.0,15,2,1.5,7,117,4,1.0
3,2,1,0.6666666666666666,2,1,1,2,0.3659447748047228,0.8340011636263729,1.048917162207084,1.0,0.36594477480472265,2.612342470671648,85.68963503450402,17.1379270069008,0.0,0.0,0.0,585.689635034504,0.5271821664334821,1.0,1.0,1.2023072537035564,-1.4863455416044407,0.0,1.2208499610716532,-0.8165998836373627,1874749.92650588,,28.563211678168006,0.4433518717519318,,3,0.6666666666666666,,1.0,20,2,2.5,3,29,3,1.0
3,2,1,0.6666666666666666,2,1,1,2,0.3659447748047228,0.8340011636263729,1.048917162207084,1.0,0.36594477480472265,2.612342470671648,85.68963503450402,17.1379270069008,0.0,0.0,0.0,585.689635034504,0.5271821664334821,1.0,1.0,1.2023072537035564,-1.4863455416044407,0.0,1.2208499610716532,-0.8165998836373627,1874749.92650588,,28.563211678168006,0.4433518717519318,,3,0.6666666666666666,,1.0,20,2,2.0,3,62,3,1.0
3,2,1,0.6666666666666666,2,1,1,2,0.3659447748047228,0.8340011636263729,1.048917162207084,1.0,0.36594477480472265,2.612342470671648,85.68963503450402,17.1379270069008,0.0,0.0,0.0,585.689635034504,0.5271821664334821,1.0,1.0,1.2023072537035564,-1.4863455416044407,0.0,1.2208499610716532,-0.8165998836373627,1874749.92650588,,28.563211678168006,0.4433518717519318,,3,0.6666666666666666,,1.0,20,2,1.5,3,72,3,1.0
4,2,2,0.5,2,2,1,3,0.0244585811035421,-0.08299941818681356,1.048917162207084,1.0,0.024458581103542043,1.2727709269561347,29.754245597744443,5.950849119548884,-55.93538943675958,-10.558743021237191,-13.983847359189895,529.7542455977444,0.040904491722508214,1.0,1.0,1.1958873010556665,0.1106677614726951,-5.36449844612522,1.1993583612135819,-1.0,195.04209059734586,1847.2093714663808,7.438561399436111,0.9533641321072917,,4,0.5,,1.0,20,2,2.0,7,33,4,1.0
4,2,2,0.5,2,2,1,3,0.0244585811035421,-0.08299941818681356,1.048917162207084,1.0,0.024458581103542043,1.2727709269561347,29.754245597744443,5.950849119548884,-55.93538943675958,-10.558743021237191,-13.983847359189895,529.7542455977444,0.040904491722508214,1.0,1.0,1.1958873010556665,0.1106677614726951,-5.36449844612522,1.1993583612135819,-1.0,195.04209059734586,1847.2093714663808,7.438561399436111,0.9533641321072917,,4,0.5,,1.0,20,2,1.5,5,79,4,1.0
4,2,2,0.5,2,2,1,3,0.0244585811035421,-0.08299941818681356,1.048917162207084,1.0,0.024458581103542043,1.2727709269561347,29.754245597744443,5.950849119548884,-55.93538943675958,-10.558743021237191,-13.983847359189895,529.7542455977444,0.040904491722508214,1.0,1.0,1.1958873010556665,0.1106677614726951,-5.36449844612522,1.1993583612135819,-1.0,195.04209059734586,1847.2093714663808,7.438561399436111,0.9533641321072917,,4,0.5,,1.0,20,2,2.5,5,85,4,1.0
